OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,SalePrice,Cluster
5,1214,1,318,1214,143000,2
7,1959,3,766,1907,171000,1
8,1852,3,660,1004,230000,1
6,1764,2,470,928,231500,0
4,864,0,0,864,115000,2
7,1734,2,660,1734,260000,1
5,1385,2,720,910,166000,0
7,1501,2,577,1490,204000,1
5,1728,2,504,1728,125000,0
6,1709,2,380,970,130000,0
5,875,1,180,715,105000,2
7,2035,2,434,884,222500,1
7,1080,0,0,1080,141000,2
5,1344,1,240,896,115000,2
5,969,2,440,969,122000,0
6,1993,2,495,825,190000,0
6,1252,2,564,1602,235000,1
6,1200,1,312,1200,125000,2
6,1096,0,0,572,79000,2
8,1968,3,680,774,269500,1
7,1947,2,678,991,254900,1
7,2462,2,576,1392,320000,1
6,1232,2,516,1232,162500,0
7,1541,2,532,1541,220000,1
4,882,0,0,882,103200,2
6,1616,1,216,1149,152000,2
5,1355,0,0,644,127500,2
5,1867,1,303,1617,190000,0
7,1720,2,440,840,183500,0
8,1707,2,511,1686,228000,1
5,1382,2,660,720,128500,0
6,1656,2,528,1080,215000,0
7,1767,2,504,1064,239000,1
6,1362,2,504,1362,163000,0
6,1651,2,616,1606,184000,1
6,2158,2,576,1202,243000,1
6,2060,2,521,1151,211000,1
5,1920,2,451,1052,172500,0
5,968,2,480,968,100000,0
6,1525,2,440,756,177000,0
7,1802,1,216,793,200100,2
7,2082,2,484,1362,200000,1
5,1252,2,576,504,127000,0
7,1217,2,497,1188,173000,0
5,1656,1,180,660,135000,2
5,1224,2,528,1086,153337,0
8,1593,2,682,1593,286000,1
8,2727,2,440,853,315000,1
7,1479,2,484,725,184000,0
7,1431,2,666,1431,192000,1
7,1709,2,380,970,130000,0
5,864,1,352,864,127000,2
6,1456,2,440,855,148500,0
7,1726,3,786,1726,311872,1
6,2229,0,0,755,104000,2
8,1713,3,856,1713,274900,1
4,1121,2,440,1121,140000,0
6,1279,2,473,1196,171500,0
6,1310,1,398,617,112000,2
6,848,2,420,848,149000,0
5,1284,1,240,720,110000,2
7,1442,2,500,1424,180500,1
5,1696,1,349,1140,143900,2
4,1100,1,312,1100,141000,2
7,2062,2,454,1157,277000,1
6,1092,2,504,1092,145000,0
5,864,0,0,864,98000,2
6,1212,2,460,1212,186000,0
7,1852,2,644,900,252678,1
5,990,2,576,990,156000,0
6,1392,1,299,689,161750,2
5,1236,1,447,1070,134450,2
7,1436,2,484,1436,210000,1
4,1328,1,210,686,107000,2
7,1954,2,431,798,311500,1
7,1248,2,438,1248,167240,0
7,1498,2,675,1498,204900,1
6,2267,2,390,1010,200000,1
6,1552,2,434,713,179900,0
4,864,2,576,864,97000,0
5,1302,1,280,630,112000,2
7,2520,3,721,1203,290000,1
6,987,1,280,483,106000,2
5,912,1,336,912,125000,2
7,1555,2,430,1373,192500,1
6,1194,1,312,1194,148000,2
6,987,1,288,483,94500,2
5,894,1,308,894,128200,2
6,1960,2,440,860,216500,0
6,987,1,264,483,89500,2
7,1414,2,494,1414,185500,1
7,1744,2,457,996,194500,0
8,1694,3,818,1694,318000,1
6,1487,1,220,735,113000,2
8,1566,2,750,1566,262500,1
5,866,0,0,686,110500,2
5,1440,1,352,540,79000,2
6,1217,1,288,626,120000,2
7,2110,2,463,948,205000,1
7,1872,2,604,1845,241500,1
6,1928,1,440,1020,137000,0
6,1375,2,451,1367,140000,0
7,1668,2,500,840,180000,0
6,2144,2,389,1444,277000,1
3,1306,0,0,728,76500,2
8,1625,2,538,1573,235000,1
6,1640,2,520,798,173000,0
6,1302,1,309,1302,158000,2
5,1314,1,294,1314,145000,2
7,2291,2,429,975,230000,1
6,1728,2,673,864,207500,0
7,1604,2,660,1604,220000,1
7,1792,2,564,963,231500,1
6,1382,2,884,1362,176000,1
8,2574,3,868,1482,276000,1
6,1212,2,492,506,151000,0
5,1316,2,484,926,130000,0
5,764,2,504,680,73000,0
6,1422,2,576,1422,175500,0
6,1511,2,413,802,185000,0
5,2192,1,240,720,179500,2
5,778,1,924,740,120500,0
6,1113,1,504,1143,148000,0
7,1363,2,439,1385,241500,1
8,2270,3,671,1152,290000,1
6,1632,1,338,1240,139000,2
5,816,1,264,816,124500,2
7,1548,2,672,952,205000,1
7,1560,2,573,1560,201000,1
4,864,2,400,864,141000,0
7,2022,2,505,1160,192000,1
7,1982,2,575,807,228500,1
6,1262,2,572,1262,185000,0
7,1314,2,626,1314,207500,1
8,1468,3,898,1468,244600,1
6,1575,2,529,1575,179200,1
7,1250,2,528,625,164700,0
6,1734,2,440,912,159000,0
4,858,0,0,858,88000,2
5,900,1,280,882,122000,2
6,1396,1,384,698,153575,2
8,1919,2,685,1079,233230,1
5,1716,0,0,780,135900,2
5,1716,1,281,768,131000,2
7,2263,2,539,795,235000,1
6,1644,2,418,1416,167000,0
6,1003,2,588,1003,142500,0
5,1558,1,282,910,152000,2
7,1950,2,576,975,239000,1
6,1743,2,539,702,175000,0
6,1152,1,300,1092,158500,2
5,1336,1,375,1165,157000,2
8,2452,2,683,1028,267000,1
7,1541,3,843,1541,205000,1
5,894,2,552,894,149900,0
7,2243,3,746,700,225000,1
6,1406,0,0,319,89500,2
4,861,2,539,861,82500,0
6,1501,2,420,697,165600,0
6,972,1,240,972,132000,2
5,1118,2,410,793,119900,0
7,1641,2,546,728,178000,0
7,1432,2,432,716,188500,0
7,2353,2,484,845,260000,1
7,2646,3,656,1347,260000,1
7,1472,2,588,1372,187500,1
7,2730,2,576,1502,301000,1
3,1163,1,220,1162,126175,2
5,803,2,360,720,87000,2
6,1383,1,292,1383,145250,2
6,2134,2,441,844,214500,0
5,1192,1,189,596,78000,2
5,1728,1,352,1728,119000,2
5,1056,1,308,1056,139000,2
7,1358,2,484,1358,207000,1
6,1638,2,472,943,192000,0
5,1786,2,529,1499,228950,1
7,1536,2,532,1536,214000,1
7,1621,2,440,1208,202500,1
6,1215,1,297,1215,155000,2
8,1908,2,431,967,202900,1
4,841,1,294,721,82000,2
9,1684,2,564,1684,266000,1
5,1112,1,336,536,85000,2
6,1577,1,312,972,140200,2
6,958,1,301,958,151500,2
6,1478,2,498,1478,157500,0
7,1626,2,474,764,154000,0
9,1869,2,617,1869,318061,1
7,1453,2,445,1453,190000,1
5,1111,1,200,616,95000,2
6,720,2,484,624,105900,0
6,1595,1,240,940,140000,2
6,1200,2,521,1200,177500,0
6,1167,2,400,1158,173000,0
5,1142,2,528,1142,134000,0
5,1352,1,288,1062,130000,2
8,1924,2,592,1086,280000,1
6,912,2,470,888,156000,0
5,1505,1,240,883,145000,2
6,987,1,264,483,118000,2
6,1574,2,566,796,190000,0
5,1344,1,468,672,147000,2
6,1394,2,514,1394,159000,0
6,1431,1,296,1099,165000,2
5,1268,1,244,1268,132000,2
5,1287,2,576,1063,162000,0
6,1664,2,460,953,172400,0
6,752,1,264,744,125000,2
5,1319,1,270,608,123000,2
7,1928,2,434,847,219500,1
5,914,2,576,870,148000,0
6,1800,2,463,982,179000,0
5,1691,1,308,1026,127000,2
7,1301,2,572,1293,187750,1
7,1797,2,639,939,213500,1
6,784,2,360,784,76000,0
6,1953,2,501,1580,240000,1
8,1269,2,430,1256,192000,1
5,1184,0,0,658,81000,2
6,1125,1,352,1041,125000,2
7,1479,2,577,1468,191000,1
5,1367,1,384,861,119000,2
6,1961,2,560,804,215000,0
4,788,0,0,788,100000,2
5,1034,1,240,735,109000,2
5,1144,1,596,1144,129000,0
5,894,2,600,894,123000,0
5,1812,1,264,864,169500,2
5,1077,1,338,961,67000,2
7,1550,2,438,1092,241000,1
8,1288,2,500,1260,245500,1
7,1310,2,400,1310,164990,0
5,672,1,240,672,108000,2
8,2263,2,420,1141,258000,1
6,1572,2,373,806,168000,0
4,1620,2,490,1281,150000,0
6,1639,1,240,1064,115000,2
6,1680,1,308,840,177000,2
7,2172,3,947,1063,280000,1
5,1276,1,350,1276,60000,2
5,1056,2,572,1056,145000,0
7,1478,2,484,1470,222000,1
5,1028,2,360,1008,115000,0
7,2097,3,678,1080,228000,1
7,1340,2,396,1340,181134,0
6,1400,2,440,672,149500,0
6,2624,3,864,1370,239000,1
5,1134,1,240,756,126000,2
5,1056,1,304,1056,142000,2
6,1602,2,529,1602,215000,1
5,988,2,520,988,113000,0
8,2630,3,696,1470,315000,1
6,1196,1,297,1196,139000,2
7,1389,1,240,651,135000,2
7,1644,2,569,1518,275000,1
4,907,1,352,907,109008,2
7,1208,2,628,1208,195400,0
6,1412,2,576,1392,175000,0
6,987,1,264,483,85400,2
6,1198,0,0,901,79900,2
5,1365,2,440,765,122500,0
6,1604,2,470,926,181000,0
4,630,0,0,630,81000,2
7,1661,2,550,799,212000,0
6,1118,2,440,648,116000,0
6,904,1,180,884,119000,2
5,694,1,352,440,90350,2
6,1196,2,528,684,110000,0
4,1440,0,0,1440,118000,2
5,1573,2,360,1078,162900,0
7,1258,3,648,1258,172500,1
7,1908,2,493,915,210000,1
6,1689,2,480,1436,127500,0
6,1888,2,578,1517,190000,1
7,1886,2,431,930,199900,1
6,1376,1,198,780,119500,2
3,1183,1,308,649,120000,2
6,813,1,270,813,110000,2
7,1533,2,576,1533,280000,1
6,1756,2,422,872,204000,0
8,1590,2,676,768,210000,1
5,1728,2,560,1728,188000,1
7,1242,2,528,1242,175500,0
5,1344,3,513,624,98000,0
4,1663,2,529,1364,256000,0
8,1666,1,228,588,161000,2
5,1203,1,352,709,110000,2
8,1935,2,552,832,263435,1
7,1135,2,576,560,155000,0
5,864,1,360,864,62383,2
6,1660,1,240,715,188700,2
5,1040,0,0,1040,124000,2
7,1414,2,398,1375,178740,0
7,1277,2,526,1277,167000,0
5,1644,1,312,728,146500,2
8,1634,3,866,1626,250000,1
6,1710,2,506,832,187000,0
8,1502,2,528,1488,212000,1
7,1969,2,534,808,190000,0
6,1072,2,525,547,148000,0
8,1652,2,499,1494,251000,1
5,970,2,624,970,132500,0
6,1493,2,508,1478,208900,1
8,1718,3,826,1705,297000,1
4,1131,2,672,907,89471,0
7,1826,1,164,910,155000,2
6,1216,2,402,1216,164000,0
5,999,1,264,999,132500,2
5,1113,1,264,1113,147000,2
5,1073,2,515,1073,156000,0
5,1484,2,487,1484,175000,0
5,2414,2,520,954,160000,0
4,630,1,286,630,86000,2
5,1304,1,336,264,115000,2
6,1578,1,240,806,133000,2
6,1456,2,429,728,172785,0
5,1269,1,308,1269,155000,2
5,886,1,273,190,91300,2
4,720,0,0,720,34900,2
7,1820,1,240,1026,184000,0
5,899,1,288,864,130000,2
5,912,1,297,912,120000,2
6,1218,1,264,672,113000,2
7,1768,2,603,866,226700,1
5,1214,2,461,1214,140000,0
7,1801,2,484,1501,289000,1
6,1322,2,440,855,147000,0
5,1960,2,400,960,124500,0
8,1911,2,471,777,215000,1
6,1218,2,676,1218,208300,0
7,1378,2,360,689,161000,0
5,1041,1,270,1041,124500,2
5,1363,1,288,1008,164900,2
7,1368,2,474,1368,202665,1
5,864,2,624,864,129900,0
6,1080,2,484,1084,134000,0
5,789,1,200,768,96500,2
6,2119,2,583,689,158000,0
7,2344,3,889,1264,265000,1
6,1796,2,546,794,211000,0
7,2080,1,282,1276,234000,1
6,1244,1,336,1244,150000,2
6,1664,2,420,1004,159000,0
7,2398,3,834,1379,315750,1
7,1266,2,453,1257,176000,0
5,928,1,252,928,132000,2
4,605,0,0,528,86000,2
6,1509,2,600,1461,175000,0
6,1362,2,502,611,128000,0
8,1414,2,403,707,178000,0
5,1347,0,0,1117,107500,2
7,1724,2,527,880,188000,0
4,864,2,576,864,111250,0
5,1159,1,336,1051,158000,2
8,1601,2,670,1581,272000,1
9,1838,3,765,1838,315000,1
8,2285,3,648,969,248000,1
7,1680,2,583,1650,213250,1
7,767,1,367,723,133000,2
7,1496,2,426,654,179665,0
7,2183,3,786,1204,229000,1
6,1635,2,440,1065,210000,0
5,768,2,624,768,129500,0
5,825,2,720,825,125000,0
7,2094,2,615,912,263000,1
6,1069,2,440,1069,140000,0
5,928,1,288,928,112500,2
8,1717,3,908,1709,255500,1
7,2046,3,871,998,284000,1
5,1048,1,280,993,113000,2
5,1092,1,299,1092,141000,2
4,1336,1,570,637,108000,2
7,1446,2,406,729,175000,0
7,1557,2,420,1374,234000,1
5,1392,2,528,1392,121500,0
5,1389,2,418,1389,170000,0
5,996,0,0,996,108000,2
6,1674,2,396,1163,185000,0
7,2295,2,590,1095,268000,1
6,1647,1,216,806,128000,2
7,1535,2,532,1517,214000,1
8,2132,2,612,1496,316600,1
5,943,2,600,943,135960,0
5,1728,2,576,1728,142600,0
6,864,1,288,864,120000,2
7,1692,2,650,846,224500,1
7,1430,2,400,384,170000,0
5,1109,1,288,372,139000,2
5,1216,1,336,832,118500,2
7,1477,1,216,861,145000,2
5,1320,2,564,1164,164500,0
7,1392,2,540,689,146000,0
5,1795,1,352,1050,131500,2
6,1429,2,572,1144,181900,0
6,816,0,0,816,118500,2
4,1573,1,240,884,133000,2
6,838,1,275,816,130000,2
5,860,2,528,840,137000,0
5,1473,1,452,1437,143000,0
5,935,1,308,742,79500,2
7,1582,2,520,770,185900,0
5,816,2,816,816,138000,0
6,848,2,420,848,140000,0
5,924,1,280,924,110000,2
8,1826,3,758,1814,319000,1
6,1368,1,216,684,114504,2
7,1402,3,648,1258,194201,1
5,1647,2,621,1430,217500,1
6,1556,2,452,716,151000,0
8,1904,2,736,1058,275000,1
6,1375,1,544,780,141000,0
8,1915,2,506,908,220000,1
7,1200,2,480,600,151000,0
7,1494,2,530,1494,221000,1
7,1986,2,486,768,205000,0
5,1040,2,576,1040,152000,0
5,2008,1,230,896,225000,2
4,1029,1,261,1029,118500,2
9,2153,3,736,1440,313000,1
6,1032,2,564,1032,148000,0
8,1872,2,531,1299,261500,1
5,1120,0,0,1120,147000,2
4,630,0,0,630,75500,2
6,1054,2,480,936,137500,0
6,1509,2,393,783,183200,0
6,832,2,528,832,105500,0
9,1828,3,774,1822,314813,1
8,2262,3,749,1482,305000,1
3,864,0,0,864,67000,2
6,2614,2,624,1522,240000,1
5,980,2,484,980,135000,0
6,1512,2,440,756,168500,0
6,1790,2,484,732,165150,0
6,1116,2,440,1116,160000,0
5,1422,1,286,978,139900,2
6,1520,1,364,1156,153000,2
5,2080,2,504,1040,135000,0
6,1350,2,520,1248,168500,0
5,1750,1,240,636,124000,2
8,1554,2,627,1554,209500,1
7,1411,2,544,1386,82500,0
5,1056,1,260,1056,139400,2
6,1056,2,576,1056,144000,0
2,800,0,0,264,60000,2
5,1387,1,256,811,93000,2
5,796,0,0,796,85000,2
8,1567,3,648,1520,264561,1
8,1518,2,588,1518,274000,1
7,1929,2,650,1057,226000,1
5,1620,2,462,780,152000,0
6,981,2,576,981,143250,0
6,1094,2,495,1094,155000,0
6,1839,2,442,756,155000,0
4,630,0,0,630,84500,2
7,1665,2,562,813,205950,0
4,1510,1,296,755,108000,2
7,1716,2,512,880,191000,0
6,1469,1,216,756,135000,2
6,1092,1,264,525,88000,2
5,1053,1,312,1053,145500,2
7,1502,1,270,776,149000,2
6,1458,1,330,912,97500,2
5,1486,2,480,1486,167000,0
7,1935,2,550,793,197900,0
6,1392,2,576,1392,110000,0
4,1181,2,588,1138,137500,0
8,1936,2,504,1406,230500,1
6,2380,2,596,1021,129000,0
6,1679,2,575,1408,193500,1
5,1437,2,576,1188,168000,0
4,1180,1,252,700,137500,2
6,1476,2,540,738,173500,0
6,1369,1,300,672,103600,2
6,1208,2,546,1208,165000,0
6,1839,2,416,1477,257500,1
6,1136,1,384,1136,140000,2
6,1441,2,440,855,148500,0
4,1774,3,779,1095,87000,0
5,792,1,240,768,109500,2
5,988,2,572,988,128500,0
6,923,1,264,923,143000,2
5,1520,1,281,793,159434,2
6,1291,2,431,1291,173000,0
9,1668,3,702,1626,285000,1
7,1839,2,486,1195,221000,1
7,2090,2,577,1190,207500,1
7,1761,2,578,874,227875,1
7,1102,2,480,551,148800,0
6,1362,2,460,1362,194700,0
6,848,2,420,848,141000,0
5,1073,1,326,1073,108480,2
5,1539,2,576,927,141500,0
6,1137,2,551,1112,176000,0
5,616,1,205,616,89000,2
5,1148,1,308,980,123500,2
5,894,1,336,894,138500,2
7,1391,2,530,1391,196000,1
8,1800,3,765,1800,312500,1
7,1164,2,528,1164,140000,0
5,1812,2,672,360,140000,0
7,1484,2,606,1473,213000,1
7,1824,2,739,1643,302000,1
8,1324,2,550,1324,254000,1
7,1456,2,400,728,179540,0
5,904,1,408,876,109900,2
3,729,0,0,270,52000,2
4,1178,1,384,859,102776,2
8,1228,2,472,1228,189000,1
4,960,2,576,960,129000,0
6,1479,2,475,725,130500,0
6,1350,2,478,1064,165000,0
7,2554,2,704,718,159500,1
5,1178,2,439,1176,157000,0
5,971,1,300,971,128500,2
8,1742,2,564,1742,275000,1
6,848,2,420,848,143000,0
4,864,2,463,864,124500,0
4,1470,1,548,941,135000,2
9,1698,3,768,1698,320000,1
4,864,2,660,864,120500,0
6,1680,2,540,880,222000,0
7,1232,2,632,1232,194500,1
5,1776,3,888,1584,110000,0
4,1208,2,539,780,103000,0
8,1616,2,608,1595,236500,1
7,1146,2,438,868,187500,0
7,2031,2,541,1153,222500,1
5,1144,1,264,864,131400,2
5,948,1,300,948,108000,2
7,1768,2,320,880,163000,0
8,1801,3,800,893,239900,1
5,1200,0,0,1200,179000,2
7,1728,2,572,864,190000,0
5,1432,2,360,264,132000,0
6,912,1,288,912,142000,2
7,1349,2,539,1349,179000,1
5,1464,2,480,520,175000,0
8,1337,2,462,1337,180000,1
8,2715,2,831,1142,299800,1
7,2256,2,554,952,236000,1
7,1720,2,527,1720,260400,1
4,1140,0,0,576,96500,2
7,1320,2,400,660,162000,0
6,1494,2,576,1479,217000,1
8,2098,3,878,1030,275500,1
6,1026,2,440,1026,156000,0
6,1471,2,440,729,172500,0
8,1768,2,578,866,212000,1
6,1386,2,440,672,158900,0
7,1501,2,440,744,179400,0
8,2531,3,752,1318,290000,1
6,864,1,300,864,127500,2
5,1301,2,440,1145,100000,0
7,1547,2,614,756,215200,0
8,1494,2,481,1494,270000,1
9,1506,2,592,1498,264132,1
7,1714,2,496,980,196500,0
6,1750,1,423,983,160000,0
7,1836,2,484,1860,216837,1
5,858,2,576,858,134900,0
4,1220,2,396,836,102000,0
6,1117,2,672,1029,107000,0
5,912,1,275,912,114500,2
6,1204,2,412,1204,162000,0
7,1614,3,865,1614,221500,1
5,894,2,440,864,142500,0
6,1004,2,504,975,135000,0
7,1253,2,402,1237,176000,0
6,1603,2,484,761,175900,0
7,1430,2,605,1413,187100,1
5,1110,2,602,1097,165500,0
6,1484,0,0,742,128000,2
6,1342,2,457,1372,161500,0
5,1652,1,416,686,139000,2
7,2084,2,618,956,233000,1
4,901,1,281,901,107900,2
6,2087,2,444,832,187500,0
7,1145,2,397,1145,160200,0
6,1062,2,539,1029,146800,0
7,2013,2,455,1117,269790,1
8,1496,2,474,1496,225000,1
7,1895,2,409,712,194500,0
6,1564,2,476,650,171000,0
6,1285,2,528,660,143500,0
5,773,1,240,773,110000,2
5,1768,1,240,731,175000,2
6,1688,2,603,616,200000,0
4,1196,2,440,1196,109900,0
7,1456,2,410,728,189000,0
5,1128,1,286,936,118000,2
7,1428,2,554,1417,227680,1
5,980,1,384,980,135500,2
5,1576,2,528,1324,223500,0
5,1086,2,484,1024,159950,0
5,2138,2,360,849,106000,0
6,1309,2,484,1040,181000,0
6,848,2,420,848,144500,0
5,1044,2,504,540,55993,0
6,1442,1,301,1442,157900,2
5,1250,1,280,686,116000,2
7,1661,2,598,1649,224900,1
5,1008,1,275,1008,137000,2
8,1689,3,857,1568,271000,1
6,1052,2,440,1010,155000,0
7,1358,2,484,1358,224000,1
7,1640,2,595,798,183000,0
4,936,2,576,936,93000,0
7,1733,2,433,847,225000,1
6,1489,1,240,778,139500,2
8,1489,2,776,1489,232600,1
5,784,0,0,784,109500,2
7,1434,2,527,1454,189000,1
5,2126,2,538,1013,185000,0
7,1223,2,480,600,147400,0
6,1392,2,458,1392,166000,0
7,1200,2,480,600,151000,0
7,1829,2,613,941,237000,1
6,1516,2,472,1516,167000,0
5,1144,2,456,1144,139950,0
4,1067,2,436,1067,128000,0
5,1559,2,812,1559,153500,0
6,987,1,264,483,100000,2
5,1099,1,352,1099,144000,2
5,1200,1,240,768,130500,2
6,1482,1,400,672,140000,2
5,1539,2,686,650,157500,0
6,1165,2,490,1127,174900,0
5,1800,0,0,1800,141000,2
5,1416,3,720,876,153900,0
5,1701,2,611,1390,171000,0
7,1775,2,425,740,213000,0
5,864,1,338,864,133500,2
6,2358,2,360,907,240000,1
6,1855,2,512,528,187000,0
6,848,2,420,848,131500,0
8,1456,2,400,1273,215000,1
7,1646,1,240,918,164000,2
6,1445,2,645,1127,158000,0
5,1779,2,454,1763,170000,1
5,1040,1,260,1040,127000,2
6,1026,2,576,940,147000,0
6,1481,2,343,702,174000,0
7,1370,2,479,1090,152000,0
6,2654,2,619,1054,250000,1
7,1426,1,216,912,189950,2
5,1039,2,504,1039,131500,0
6,1097,2,480,1040,152000,0
5,1148,1,672,1148,132500,0
7,1372,2,529,1372,250580,1
5,1002,2,902,1002,148500,0
8,1646,3,870,1638,248900,1
4,1120,2,544,1040,129000,0
7,1949,2,574,1050,236000,1
5,894,1,308,894,109500,2
6,1682,2,523,804,200500,0
5,910,2,414,105,116000,0
5,1268,1,288,832,133000,2
5,1131,1,200,676,66500,2
8,2610,2,550,1184,303477,1
4,1040,2,648,1064,132250,0
5,1155,2,576,1109,148000,0
5,864,1,336,864,136500,2
5,1090,2,450,1090,157000,0
7,1717,2,400,1156,187500,1
6,1593,2,389,808,178000,0
4,2230,1,440,795,118500,2
5,892,1,288,892,100000,2
5,1712,2,588,1626,145000,0
5,1393,1,300,816,135500,2
6,1505,2,505,1505,149500,0
5,924,2,576,672,122900,0
6,1683,2,440,918,172500,0
6,1068,1,264,1059,154500,2
5,1383,1,354,1383,165000,2
6,1796,2,483,780,140000,0
4,951,1,327,951,106500,2
5,1236,1,288,912,135000,2
4,858,1,684,858,110000,2
5,1306,1,756,992,153000,0
7,1509,2,393,783,180000,0
7,1670,3,690,1670,240000,1
5,902,1,288,876,125500,2
5,1063,1,280,1056,128000,2
8,1636,3,865,1623,255000,1
7,2057,1,180,1017,250000,1
5,902,2,484,864,131000,0
6,1484,2,390,742,174000,0
5,2274,2,480,1105,154300,0
5,1268,1,252,1268,143500,2
5,1015,1,450,768,88000,2
5,2002,3,871,1001,145000,0
6,1224,2,528,612,173733,0
4,1092,1,286,546,75000,2
2,480,1,308,480,35311,2
4,1229,1,284,1134,135000,2
7,2127,3,833,1104,238000,1
6,1414,2,601,1184,176500,0
6,1721,2,471,928,201000,0
5,2200,0,0,1272,145900,2
6,1316,2,397,1316,169990,0
6,1617,2,533,1604,193000,1
6,1686,2,612,1686,207500,1
5,1126,2,540,1126,175000,0
8,2374,3,656,1181,285000,1
7,1978,2,486,832,176000,0
8,1788,2,522,1753,236500,1
7,2236,2,642,964,222000,1
8,1466,3,610,1466,201000,1
5,925,1,429,925,117500,2
9,1905,3,788,1905,320000,1
7,1500,2,570,1500,190000,1
7,2069,2,505,585,242000,1
4,747,2,528,600,79900,0
7,1200,2,555,1176,184900,0
7,1971,2,689,1113,253000,1
7,1962,3,868,1391,239799,1
7,2403,1,349,1032,244400,1
6,1728,2,574,1728,150900,1
7,2060,2,390,992,214000,1
4,1440,0,0,1440,150000,2
5,1632,2,576,1632,143000,0
6,1344,2,525,819,137500,0
5,1869,2,456,1088,124900,0
5,1144,1,796,1144,143000,0
8,1629,3,808,1616,270000,1
7,1776,2,474,936,192500,0
