,customer_id,has_referred_friend,number_referrals,month_tenure,plan,phone_plan,has_multiple_lines,broadband_plan,broadband_type,online_security,online_backup,device_protection,premium_tech_support,unlimited_data,contract,paperless_billing,payment_method
34,8532c7da-3ccf-4d55-806b-84a1a2058fc1,Unknown,9,72.0,Plan A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit Card
35,de56d03a-9cb8-4ca0-96fc-3b62c9f100b9,Yes,5,22.0,Plan D,Yes,Yes,No,,No,No,No,No,No,One Year,No,Bank Withdrawal
36,e68a0850-2053-44ea-988d-60a1c77cec04,Yes,6,24.0,Plan C,Yes,No,No,,No,No,No,No,No,One Year,Yes,Credit Card
37,043e76f5-5b4e-43bf-935c-efaa7855b84c,No,0,39.0,Plan C,No,No,Yes,Cable,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
38,dd7c67cf-d990-4535-a23d-ddc848a716dd,No,0,18.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Month-to-Month,Yes,Credit Card
39,aab4ef3a-0b22-44aa-8bb4-df5815e4c3e5,No,0,9.0,Plan E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
40,d319a8a7-f60f-41bf-9ecc-ff5dbc348ce1,Yes,6,5.0,,Yes,Yes,No,,No,No,No,No,No,Month-to-Month,Yes,Credit Card
41,c71dbcb2-84d6-4daf-b23a-0580de2736a1,No,0,4.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
42,3487a118-b28c-46c1-ba73-90b6e6604500,No,0,29.0,,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Mailed Check
43,b9df3f66-c31a-421f-a898-dd855f03e70c,No,0,41.0,Plan B,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Two Year,Yes,Credit Card
44,12346eaa-2e50-4525-85cc-4bf3d2c0af66,Yes,10,8.0,Plan E,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card
45,c2e39311-2df1-406c-815b-5bed0794034a,Unknown,1,62.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Two Year,Yes,Credit Card
46,c30699ac-9184-4619-95a6-9a50ef96cf44,No,0,1.0,Plan E,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
47,e1e60909-e5fa-4516-ab3f-92a0b62f5f3b,Yes,1,3.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
48,340ded7b-27ab-4dc6-b208-3ffd64edb16e,No,0,29.0,,Yes,Yes,Yes,Cable,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
49,e4c0e7e9-0006-420c-8820-bb2d3ffb8054,Yes,6,21.0,Plan D,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
50,d1b84703-e08f-4933-8797-c2875ccffa65,No,0,71.0,,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,One Year,No,Credit Card
51,ccf9d088-0986-49d5-9710-825245255bf1,No,0,16.0,Plan D,Yes,No,No,,No,No,No,No,No,Month-to-Month,Yes,Credit Card
52,95d2ead8-6f66-476a-b2e0-010d21bdecef,No,0,2.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Credit Card
53,cbe66d82-00e9-4645-b1b3-174c50aa74cc,Unknown,9,72.0,,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,No,Credit Card
54,43201cbc-28a5-46cf-a4ec-107f8372d71d,No,0,1.0,,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
55,152232f1-bc91-421a-a902-db1bba406db5,No,0,21.0,,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,Two Year,No,Credit Card
56,00eb3ffc-c521-428b-9f29-4851cfb2ea22,Unknown,2,71.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
57,37eccad5-2264-4107-a452-57b513c0e3ed,Unknown,1,61.0,Plan B,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card
58,b1177b6c-448c-40c0-bd15-feabbe172780,Unknown,1,2.0,Plan E,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
59,60a97826-f6a9-406e-bf85-907207a6e32a,Unknown,1,2.0,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
60,a1fbccc1-51c5-4aad-95c5-3a139c52aa71,No,0,15.0,,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
61,2e839512-1f17-4183-9fdb-0c52412d1068,No,0,7.0,,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
62,2809f3c7-79e3-440d-bda1-e64b4103482d,No,0,25.0,Plan C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
63,1cac9616-94e1-436a-9896-da470c2b8a2a,Unknown,1,16.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
64,fb8cc64d-cdfd-4f67-91a5-a2efc9d97a73,No,0,21.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Credit Card
65,bf238d5a-5cb2-412f-b506-9f4da8f68416,Unknown,1,66.0,Plan A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,,One Year,Yes,Bank Withdrawal
66,1cab73a3-bb84-4765-9468-023eb3c5e8d4,No,0,5.0,,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
67,36b7369a-e3b5-4fbe-a367-23da553a0b32,No,0,8.0,,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
68,336ce47f-275c-4120-beab-0b480179fe98,No,0,57.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Two Year,Yes,Credit Card
69,70a945d8-3919-480c-bedb-ef3eb92673d2,No,0,57.0,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
70,bf0f84c7-ef79-468f-b0b7-56908fcc28fa,No,0,57.0,Plan B,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check
71,eb467f65-ed10-4d47-a0b4-4e1a25f351d1,No,0,3.0,Plan E,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check
72,b76e6973-d09e-4895-a88b-787fcfef7869,No,0,24.0,Plan C,Yes,No,Yes,Fiber Optic,No,No,No,No,No,One Year,No,Credit Card
73,aeac92cd-3158-4eb7-b838-6881b9a9b90d,No,0,32.0,Plan C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card
74,c95b1773-f13f-490c-b8d2-2866757bb72a,Unknown,1,41.0,,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card
75,1697b190-019e-4010-ad82-508466279191,Unknown,7,46.0,,Yes,No,No,,No,No,No,No,No,Two Year,No,Bank Withdrawal
76,2695b99c-294f-4c9e-ae16-4d42ecf37a74,No,0,45.0,,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
77,2712f731-3f2c-4e2f-b9b7-adc6bab89eb8,Yes,5,25.0,,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal
78,a3c023ef-c566-4f3a-aff1-67a81c008331,Yes,4,68.0,,No,No,Yes,DSL,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal
79,f7fbb576-1398-474c-927b-951746ca1e6e,No,0,23.0,Plan D,Yes,No,No,,No,No,No,No,No,One Year,No,Credit Card
80,4bcea5f4-f721-47c1-b0c9-9b9029ce39db,No,0,51.0,Plan B,Yes,No,No,,No,No,No,No,No,One Year,Yes,Bank Withdrawal
81,f734990a-10e8-4332-9970-39b8e96437c8,No,0,8.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
82,8d18f500-d23c-45a7-875d-7347b3a1d8d9,Unknown,1,65.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
83,a408e1a2-7410-48ae-b096-1a2a9b4768fa,No,0,12.0,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
84,db6afeba-2fcf-41fd-9647-9dc2ea81efa0,No,0,34.0,Plan C,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,One Year,Yes,Mailed Check
85,fa79a60d-1d78-4266-98aa-73d745382a82,No,0,32.0,,Yes,No,Yes,DSL,No,Yes,No,Yes,No,One Year,No,Bank Withdrawal
86,3bd1f092-f277-42a5-b292-73901aabba20,No,0,35.0,,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Bank Withdrawal
87,64a98073-540d-4811-9714-0bc7891dbd51,Unknown,8,64.0,Plan B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal
88,a593a3de-4ebd-4443-8688-25d34a5992a8,No,0,10.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
89,ec09f9d1-b685-43cb-89aa-7023f1224b51,No,0,45.0,,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,One Year,No,Credit Card
90,3bd1f092-f277-42a5-b292-73901aabba20,No,0,35.0,,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Bank Withdrawal
91,35002346-d326-4243-b396-ee40aa6106c6,No,0,53.0,,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,One Year,No,Credit Card
92,04ec7671-51b6-40b0-bd86-f85354f9f2da,Unknown,6,72.0,Plan A,Yes,No,No,,No,No,No,No,No,Two Year,No,Credit Card
93,7a6af90f-0a21-4c02-a9b7-499e736c5862,Yes,1,1.0,Plan E,No,No,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal
94,2d8da302-e9de-4f96-a868-5c65d848984d,Yes,9,3.0,Plan E,Yes,Yes,No,,No,No,No,No,No,Month-to-Month,Yes,Credit Card
95,17606777-a901-4cd9-8ab4-a27c4c77975c,No,0,1.0,Plan E,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
96,eb626477-6d67-40d9-8fa6-5c7b59086623,No,0,11.0,Plan D,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal
97,5e3acfb0-2aa1-4c22-844e-ec2c3c83d36c,No,0,25.0,,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card
98,4ec023b4-f722-4cbe-b72a-14c65245ae6f,Unknown,2,56.0,,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal
99,6d82ab51-dd42-4c98-9e30-6b460ab728b9,No,0,8.0,,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
100,7f4d7c70-ca93-496e-8bdc-1674e776e246,No,0,1.0,Plan E,Yes,Yes,Yes,DSL,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
101,036596c9-a3f9-44a0-b6f6-0476913abdfb,No,0,33.0,Plan C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Month-to-Month,Yes,
102,fabab97a-6b4b-452e-a949-6b1b51d0e527,No,0,6.0,Plan E,No,No,Yes,Cable,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card
103,f49b0a31-8fb6-401d-ada6-ada6081db9b1,No,0,21.0,Plan D,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
104,33983e63-4c66-44b0-8f54-188c70aaf45a,Yes,4,62.0,Plan B,Yes,Yes,No,,No,No,No,No,No,Two Year,Yes,Bank Withdrawal
105,e24fbd1b-0ac6-4aa7-8e45-0957c0f9c227,No,0,2.0,Plan E,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
106,1d49c031-e0af-4075-8a0f-c26ac20fbd32,No,0,5.0,Plan E,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
107,2cbdc2ab-4d3b-44f7-a3d6-505b228f8f34,Yes,6,72.0,,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
108,cb1bdd82-6347-4189-8639-5fe00e9dcb66,No,0,33.0,Plan C,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Two Year,No,Bank Withdrawal
109,e6faf2bb-4578-4833-8c9e-fa64dfb479aa,No,0,6.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
110,0c665e76-6b4d-48dd-9e69-ab34d5a3ebbb,Yes,7,51.0,Plan B,No,No,Yes,Cable,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal
111,e1349479-f8b8-4237-85d2-51950dd4efb5,No,0,9.0,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
112,503c212a-6238-4533-9aee-ef1f356c98fb,Yes,1,67.0,,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal
113,7e5acc91-605a-40e3-8af7-6bc43efd0aa1,No,0,5.0,Plan E,No,No,Yes,Cable,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card
114,4640d926-302e-45f6-ad25-28e194c08a3b,No,0,72.0,Plan A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal
115,8a6efee6-23ad-4fbe-b78b-658214840b9d,No,0,50.0,Plan B,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card
116,d69f8ee3-e717-4cb3-a351-220b3bd98f8d,No,0,13.0,Plan D,No,No,Yes,DSL,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
117,70098a06-af36-4277-97e8-ab99c716d1cd,No,0,20.0,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
118,a7b0e3e7-085e-4f35-9c57-0d731ce84708,Yes,9,72.0,Plan A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,
119,6b380867-935b-4c7a-bf63-9c65de86d168,No,0,16.0,,Yes,No,Yes,DSL,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card
120,f158e092-2c95-4111-b4fa-0f7d641dd4c1,Unknown,3,33.0,Plan C,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit Card
121,217f87ac-c4d4-4a59-8cdf-90dc5d591fdb,Yes,1,50.0,,Yes,No,Yes,Cable,Yes,No,No,Yes,No,One Year,No,Bank Withdrawal
122,7d8fd4f5-1438-4ad0-a779-9ac9ebb4631d,Unknown,4,20.0,,No,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card
123,37cbb7a3-61b9-49d6-927f-97f924232938,No,0,3.0,Plan E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
124,f38614b6-c867-4aa0-9510-96f9cfdb8092,No,0,22.0,Plan D,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card
125,18c82b3d-e50d-4519-bcae-f8d354b1f478,Unknown,2,72.0,Plan A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,,Two Year,Yes,Bank Withdrawal
126,f15fc09e-c9ff-4e36-88de-44e191b72235,Unknown,8,22.0,,Yes,No,No,,No,No,No,No,No,One Year,No,Bank Withdrawal
127,4659dbaf-2175-477d-9daf-450180ba173b,No,0,23.0,,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card
128,4a523cd6-1248-48c7-9c34-8b17a24bc868,No,0,17.0,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal
129,e8e1a449-332a-488d-ab07-2900f47e3abb,Unknown,4,72.0,Plan A,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Credit Card
130,8d2f0532-ff0e-4a09-ab9b-805cf4e5be12,No,0,24.0,,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
131,163cf7b8-97e5-4fa1-8480-0828e0018457,Unknown,9,12.0,Plan D,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal
132,066f9750-897c-4273-906b-d0efd205c3a4,No,0,1.0,,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
133,1a9675fa-4c13-41ad-80ab-58fd4235e4c2,Yes,4,64.0,,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal
134,263a05c3-c381-435b-8da1-0b06e00a1dd2,No,0,2.0,,Yes,No,Yes,DSL,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal
135,a3e1de8e-c34d-4c1a-9284-1ca4df01aacb,No,0,6.0,,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Month-to-Month,Yes,Credit Card
136,200f1925-b720-4b84-baaa-98974b2a5f5c,No,0,1.0,,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,No,Credit Card
137,3698fabc-c18b-4814-a04e-fce4b57589d2,No,0,39.0,,No,No,Yes,DSL,No,No,Yes,No,No,Month-to-Month,No,Credit Card
138,0b58ef7b-fa97-4ab6-bf6f-9eed8e6f9567,No,0,59.0,,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Credit Card
139,234b3e13-dd41-4bf5-a7c2-1da8a66da593,No,0,66.0,Plan A,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,One Year,Yes,Mailed Check
140,f445271a-69d4-4609-8502-938c2c0f4806,No,0,4.0,Plan E,Yes,No,Yes,Cable,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal
141,daf57c93-190b-436f-a12f-330c17f02975,Unknown,1,42.0,Plan B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal
142,478c7c2f-b030-4a78-a307-ea7fc73610c4,Unknown,5,35.0,,Yes,No,Yes,Cable,Yes,No,No,Yes,Yes,One Year,Yes,Bank Withdrawal
143,d217dc18-ab15-4dcd-a151-e24328467e25,No,0,1.0,Plan E,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card
144,2ad828d3-d4d5-4414-9b7b-9d49bccd0ed2,Yes,1,43.0,,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal
145,a8d3daa8-4e2f-4e38-99a5-f332d8240802,No,0,4.0,,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal
146,62875e68-49a2-42c8-bf17-7b57cb84cf2e,Unknown,9,3.0,,Yes,No,No,,No,No,No,No,,Month-to-Month,No,Credit Card
147,ec66ded9-4248-41e7-9e2a-2acb78593e9a,No,0,5.0,,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal
148,f12d1d01-5eb5-4dbc-a2c8-8a96d8dd6fa3,Unknown,4,9.0,,Yes,No,Yes,Cable,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card
149,2c45ddb9-d033-46b3-9554-c80ac3cb048a,Yes,7,44.0,,Yes,Yes,No,,No,No,No,No,No,One Year,No,Bank Withdrawal
150,3d5ef7ed-1355-4e40-bbec-f72bf6b1961e,Yes,1,22.0,,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Month-to-Month,No,Bank Withdrawal
151,ef2b53d8-96cd-4255-97aa-658b2c3db2d2,Yes,1,4.0,,Yes,No,No,,No,No,No,No,No,Month-to-Month,No,Credit Card
152,9ab3d797-f952-4030-99cc-45442d242438,No,0,15.0,Plan D,Yes,Yes,Yes,DSL,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal
153,93f17c25-6649-40ba-9a32-5810c0de4704,Unknown,6,71.0,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal
154,e3725302-2d68-461c-bde3-b2633ac27572,Yes,1,9.0,,Yes,No,No,,No,No,No,No,No,One Year,Yes,Credit Card
155,469e7821-1712-4fc3-b0e8-34511b333d23,Yes,9,7.0,Plan E,No,No,Yes,Cable,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card
156,50c7a146-fff5-412c-a539-cbccab7864dc,Unknown,8,72.0,,Yes,Yes,No,,No,No,No,No,No,Two Year,No,Credit Card
157,cd58f799-7751-48cc-9276-e203845ded0f,Unknown,5,33.0,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal
